,cost,Memory(GB),PubsubMessageSize(Bytes),path,NI,es,ls,ef,lf,slackTime,duration,function
0,4.6399999999999997e-07,0.256,-,1,20.0,0.0,0.0,91.34999999999998,91.34999999999991,0.0,91.34999999999998,Text2SpeechCensoringWorkflow_GetInput
1,4.6399999999999997e-07,0.256,-,2,20.0,1025.05,4993.449999999999,1059.2,5027.5999999999985,3968.3999999999987,34.14999999999999,Text2SpeechCensoringWorkflow_Profanity
2,7.84e-07,0.256,-,1,20.0,1088.35,1088.35,2040.5,2040.5,0.0,952.15,Text2SpeechCensoringWorkflow_Text2Speech
3,6.559999999999999e-07,0.256,-,1,20.0,2624.1499999999987,2624.1499999999987,3479.4999999999986,3479.4999999999986,0.0,855.3499999999998,Text2SpeechCensoringWorkflow_Conversion
4,2.9e-06,2,-,1,20.0,4473.5999999999985,4473.5999999999985,4976.699999999999,4976.699999999999,0.0,503.1,Text2SpeechCensoringWorkflow_Compression
5,8.480000000000001e-07,0.256,-,1,20.0,7126.8499999999985,7126.8499999999985,8021.249999999998,8021.249999999998,0.0,894.4,Text2SpeechCensoringWorkflow_Censor
6,5.92e-07,0.256,-,1,20.0,5974.699999999999,5974.699999999999,6133.8499999999985,6133.8499999999985,0.0,159.14999999999998,Text2SpeechCensoringWorkflow_MergedFunction
7,3.725290298461914e-08,-,452.3565424221651,0,20.0,91.34999999999998,4059.749999999999,1025.05,4993.449999999999,3968.3999999999987,933.6999999999999,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Profanity
8,3.725290298461914e-08,-,455.01331500863176,0,20.0,91.34999999999998,91.34999999999991,1088.35,1088.35,0.0,997.0,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Text2Speech
9,3.725290298461914e-08,-,331.6621734166118,0,20.0,1059.2,5027.5999999999985,2006.3000000000002,5974.699999999999,3968.3999999999987,947.1,Text2SpeechCensoringWorkflow_Profanity-Text2SpeechCensoringWorkflow_MergedFunction
10,3.725290298461914e-08,-,268.94250470351716,0,20.0,2040.5,2040.5,2624.1499999999987,2624.1499999999987,0.0,583.6499999999987,Text2SpeechCensoringWorkflow_Text2Speech-Text2SpeechCensoringWorkflow_Conversion
11,3.725290298461914e-08,-,273.58621682890026,0,20.0,3479.4999999999986,3479.4999999999986,4473.5999999999985,4473.5999999999985,0.0,994.1,Text2SpeechCensoringWorkflow_Conversion-Text2SpeechCensoringWorkflow_Compression
12,3.725290298461914e-08,-,331.6621734166118,0,20.0,4976.699999999999,4976.699999999999,5974.699999999999,5974.699999999999,0.0,998.0,Text2SpeechCensoringWorkflow_Compression-Text2SpeechCensoringWorkflow_MergedFunction
13,3.725290298461914e-08,-,327.77686311193827,0,20.0,6133.8499999999985,6133.8499999999985,7126.8499999999985,7126.8499999999985,0.0,993.0,Text2SpeechCensoringWorkflow_MergedFunction-Text2SpeechCensoringWorkflow_Censor
